<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;
SPFB.RTS-12.18;1;14.09.2018;11:52;107280,00;107280,00;107190,00;107200,00;38;;;
SPFB.RTS-12.18;1;14.09.2018;11:53;107210,00;107210,00;107100,00;107190,00;83;;;
SPFB.RTS-12.18;1;14.09.2018;11:56;107180,00;107180,00;107100,00;107130,00;15;;;
SPFB.RTS-12.18;1;14.09.2018;11:57;107160,00;107160,00;107130,00;107130,00;30;;;
SPFB.RTS-12.18;1;14.09.2018;11:58;107090,00;107090,00;107000,00;107000,00;81;;;
SPFB.RTS-12.18;1;14.09.2018;11:59;106990,00;107050,00;106960,00;107050,00;27;;;
SPFB.RTS-12.18;1;14.09.2018;12:00;107080,00;107110,00;107080,00;107100,00;25;;;
SPFB.RTS-12.18;1;14.09.2018;12:01;107070,00;107070,00;106990,00;107010,00;53;;;
SPFB.RTS-12.18;1;14.09.2018;12:02;107000,00;107020,00;106990,00;107000,00;35;;;
SPFB.RTS-12.18;1;14.09.2018;12:03;106980,00;106980,00;106910,00;106940,00;73;;;
SPFB.RTS-12.18;1;14.09.2018;12:04;106980,00;107030,00;106980,00;107010,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;12:06;106990,00;106990,00;106930,00;106930,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;12:07;106940,00;106940,00;106930,00;106940,00;28;;;
SPFB.RTS-12.18;1;14.09.2018;12:08;106960,00;107000,00;106960,00;107000,00;22;;;
SPFB.RTS-12.18;1;14.09.2018;12:09;107030,00;107050,00;107000,00;107000,00;21;;;
SPFB.RTS-12.18;1;14.09.2018;12:10;106970,00;107000,00;106970,00;107000,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;12:11;106950,00;106990,00;106940,00;106960,00;24;;;
SPFB.RTS-12.18;1;14.09.2018;12:12;107020,00;107030,00;106960,00;106980,00;19;;;
SPFB.RTS-12.18;1;14.09.2018;12:13;107030,00;107030,00;107030,00;107030,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:14;107060,00;107140,00;107050,00;107140,00;53;;;
SPFB.RTS-12.18;1;14.09.2018;12:15;107120,00;107170,00;107100,00;107160,00;23;;;
SPFB.RTS-12.18;1;14.09.2018;12:16;107090,00;107140,00;107080,00;107140,00;4;;;
SPFB.RTS-12.18;1;14.09.2018;12:17;107090,00;107090,00;107090,00;107090,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;12:18;107120,00;107120,00;107060,00;107060,00;10;;;
SPFB.RTS-12.18;1;14.09.2018;12:19;107080,00;107080,00;107060,00;107060,00;4;;;
SPFB.RTS-12.18;1;14.09.2018;12:20;107140,00;107190,00;107140,00;107190,00;18;;;
SPFB.RTS-12.18;1;14.09.2018;12:21;107200,00;107210,00;107130,00;107130,00;21;;;
SPFB.RTS-12.18;1;14.09.2018;12:22;107150,00;107150,00;107150,00;107150,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;12:23;107130,00;107140,00;107130,00;107140,00;12;;;
SPFB.RTS-12.18;1;14.09.2018;12:24;107150,00;107150,00;107140,00;107140,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;12:25;107140,00;107140,00;107140,00;107140,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;12:26;107100,00;107160,00;107090,00;107160,00;69;;;
SPFB.RTS-12.18;1;14.09.2018;12:27;107180,00;107200,00;107130,00;107130,00;16;;;
SPFB.RTS-12.18;1;14.09.2018;12:28;107130,00;107130,00;107100,00;107100,00;12;;;
SPFB.RTS-12.18;1;14.09.2018;12:30;107140,00;107140,00;107140,00;107140,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:31;107150,00;107170,00;107150,00;107170,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;12:32;107190,00;107270,00;107190,00;107250,00;33;;;
SPFB.RTS-12.18;1;14.09.2018;12:33;107230,00;107230,00;107210,00;107210,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:34;107200,00;107250,00;107190,00;107250,00;11;;;
SPFB.RTS-12.18;1;14.09.2018;12:35;107240,00;107250,00;107240,00;107250,00;4;;;
SPFB.RTS-12.18;1;14.09.2018;12:36;107250,00;107280,00;107230,00;107230,00;28;;;
SPFB.RTS-12.18;1;14.09.2018;12:37;107210,00;107210,00;107210,00;107210,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;12:38;107180,00;107210,00;107180,00;107210,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;12:39;107190,00;107280,00;107190,00;107280,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;12:40;107290,00;107380,00;107290,00;107340,00;98;;;
SPFB.RTS-12.18;1;14.09.2018;12:41;107340,00;107350,00;107320,00;107320,00;12;;;
SPFB.RTS-12.18;1;14.09.2018;12:42;107330,00;107330,00;107300,00;107300,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;12:43;107300,00;107300,00;107300,00;107300,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:44;107290,00;107290,00;107280,00;107280,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:45;107290,00;107320,00;107290,00;107320,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:46;107370,00;107380,00;107370,00;107380,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;12:47;107390,00;107480,00;107390,00;107470,00;32;;;
SPFB.RTS-12.18;1;14.09.2018;12:48;107490,00;107600,00;107490,00;107600,00;59;;;
SPFB.RTS-12.18;1;14.09.2018;12:49;107610,00;107630,00;107600,00;107600,00;28;;;
SPFB.RTS-12.18;1;14.09.2018;12:50;107580,00;107580,00;107560,00;107560,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:51;107580,00;107580,00;107510,00;107510,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;12:52;107490,00;107530,00;107490,00;107490,00;12;;;
